day,energy_demand_kwh,cid,freight_forwarder
2021-09-07,3.552713678800501e-15,0,1
2021-09-08,-1.5987211554602254e-14,0,1
2021-09-09,1.1368683772161603e-13,0,1
2021-09-10,8.01581023779363e-14,0,1
2021-09-12,-1.5987211554602254e-14,0,1
2021-09-13,-1.0191847366058937e-13,0,1
2021-09-14,258.36566666666687,0,1
2021-09-15,-5.684341886080802e-14,0,1
2021-09-16,-258.3656666666666,0,1
2021-09-16,-4.973799150320701e-14,745,2
2021-09-17,1.545430450278218e-13,0,1
2021-09-17,1.0658141036401503e-13,745,2
2021-09-18,2.842170943040401e-14,745,2
2021-09-20,13.341712222222242,0,1
2021-09-20,2.842170943040401e-14,745,2
2021-09-21,1.3145040611561853e-13,0,1
2021-09-21,1.2434497875801753e-14,2,3
2021-09-21,2.842170943040401e-14,4,3
2021-09-21,-240.90698633333332,20,3
2021-09-21,240.90698633333326,26,3
2021-09-21,8.326672684688674e-14,745,2
2021-09-22,-13.341712222222046,0,1
2021-09-22,-7.105427357601002e-15,2,3
2021-09-22,34.915458777777694,4,3
2021-09-22,1.4210854715202004e-14,20,3
2021-09-22,-34.91545877777776,26,3
2021-09-22,-4.973799150320701e-14,745,2
2021-09-23,-1.4210854715202004e-13,0,1
2021-09-23,-22.51128688888894,2,3
2021-09-23,0.0,4,3
2021-09-23,27.814119666666706,20,3
2021-09-23,2.842170943040401e-14,26,3
2021-09-23,7.105427357601002e-14,745,2
2021-09-24,70.20625000000005,0,1
2021-09-24,-5.302832777777805,2,3
2021-09-24,-2.4868995751603507e-14,4,3
2021-09-24,1.1368683772161603e-13,26,3
2021-09-24,2.842170943040401e-14,745,2
2021-09-27,-30.40419922222208,0,1
2021-09-27,-1.2079226507921703e-13,2,3
2021-09-27,57.703429333333375,4,3
2021-09-27,-7.105427357601002e-15,20,3
2021-09-27,-57.70342933333341,26,3
2021-09-27,3.019806626980426e-14,745,2
2021-09-28,3.375077994860476e-13,0,1
2021-09-28,1.0302869668521453e-13,2,3
2021-09-28,7.105427357601002e-15,4,3
2021-09-28,7.105427357601002e-15,20,3
2021-09-28,-1.9895196601282805e-13,26,3
2021-09-28,2.842170943040401e-14,745,2
2021-09-29,246.96854644444466,0,1
2021-09-29,1.7763568394002505e-14,2,3
2021-09-29,2.1316282072803006e-14,4,3
2021-09-29,-7.105427357601002e-15,26,3
2021-09-29,1.9895196601282805e-13,745,2
2021-09-30,282.2146666666665,0,1
2021-09-30,3.214616111111102,2,3
2021-09-30,-84.12318144444434,4,3
2021-09-30,-3.21461611111112,20,3
2021-09-30,84.12318144444428,26,3
2021-09-30,1.1368683772161603e-13,745,2
2021-10-01,-359.4658888888889,0,1
2021-10-01,3.552713678800501e-14,2,3
2021-10-01,4.263256414560601e-14,4,3
2021-10-01,0.0,20,3
2021-10-01,0.0,26,3
2021-10-01,-6.550315845288424e-14,745,2
2021-10-02,-4.263256414560601e-14,2,3
2021-10-02,1.7763568394002505e-14,20,3
2021-10-04,7.216449660063518e-14,0,1
2021-10-04,7.105427357601002e-14,2,3
2021-10-04,3.552713678800501e-15,4,3
2021-10-04,4.263256414560601e-14,20,3
2021-10-04,-5.684341886080802e-14,26,3
2021-10-04,5.684341886080802e-14,745,2
2021-10-05,-209.5193750000002,0,1
2021-10-05,-1.6786572132332367e-13,2,3
2021-10-05,-1.4210854715202004e-14,4,3
2021-10-05,-5.595524044110789e-14,26,3
2021-10-05,3.552713678800501e-14,745,2
2021-10-06,161.04361855555578,0,1
2021-10-06,-137.7010137777777,2,3
2021-10-06,4.263256414560601e-14,4,3
2021-10-06,3.552713678800501e-14,20,3
2021-10-06,177.43069133333324,26,3
2021-10-06,-1.4210854715202004e-14,745,2
2021-10-07,261.9504625555554,0,1
2021-10-07,-27.056693666666778,2,3
2021-10-07,-3.419486915845482e-14,4,3
2021-10-07,-2.842170943040401e-14,20,3
2021-10-07,123.40859333333347,26,3
2021-10-07,5.684341886080802e-14,745,2
2021-10-08,-161.04361855555533,0,1
2021-10-08,-136.08157722222225,2,3
2021-10-08,2.842170943040401e-14,4,3
2021-10-08,7.105427357601002e-15,26,3
2021-10-08,2.2737367544323206e-13,745,2
2021-10-09,-77.30762922222218,0,1
2021-10-10,-1.687538997430238e-14,0,1
2021-10-10,-7.105427357601002e-15,2,3
2021-10-11,951.1955694444441,0,1
2021-10-11,-1.4210854715202004e-13,2,3
2021-10-11,3.552713678800501e-15,4,3
2021-10-11,-1.2434497875801753e-14,26,3
2021-10-11,3.441691376337985e-14,745,2
2021-10-12,-791.4320416666667,0,1
2021-10-12,-3.552713678800501e-14,2,3
2021-10-12,4.263256414560601e-14,4,3
2021-10-12,-1.4210854715202004e-14,20,3
2021-10-12,8.659739592076221e-14,26,3
2021-10-12,8.926193117986259e-14,745,2
2021-10-13,-132.15154166666642,0,1
2021-10-13,-6.572520305780927e-14,2,3
2021-10-13,2.842170943040401e-14,4,3
2021-10-13,-1.4210854715202004e-14,20,3
2021-10-13,7.815970093361102e-14,26,3
