tour_id,distance,distance_km,duration,duration_h,start_time,battery_energy_min,battery_energy_mean,soc_min,soc_mean,track_id_count,vehicle_id,stop_time,long_haul,freight_forwarder,max_speed_kmh,avg_speed_kmh,location,energy_consumption_kwh_cleaned,avg_energy_consumption_kwh/km_cleaned,occupation
0,57945.0,57.945,249610.168,69.33615777777777,2021-09-10 11:04:53.598000+02:00,490.54,504.6666666666667,0.8576,0.8822833333333334,3,1,2021-09-13 08:25:03.766000+02:00,False,1,89.10000000000001,29.268000000000004,industrial area,24.25598,1.609239,industrial area
2,36426.0,36.426,105859.837,29.405510277777775,2021-09-13 08:25:03.766000+02:00,503.08,510.21999999999997,0.8795,0.892,5,1,2021-09-14 13:49:23.603000+02:00,False,1,89.38799999999999,49.068000000000005,industrial area,11.717299,1.161684,industrial area
3,1570.0,1.57,1981828.4949999999,550.5079152777778,2021-09-14 13:49:23.603000+02:00,507.49,511.145,0.8872,0.8936,1,1,2021-10-07 12:19:52.098000+02:00,False,1,25.668,3.8520000000000003,home base,1.808251,1.151752,home base
4,1290420.0,1290.42,330766.049,91.87945805555556,2021-10-07 12:19:52.098000+02:00,-248.37,111.13444444444444,-0.4342,0.1942888888888889,9,1,2021-10-11 08:12:38.147000+02:00,True,1,102.42,74.48400000000001,service area fuel,401.240393,1.254749,service area fuel
6,64100.0,64.1,24797.245,6.888123611111111,2021-10-11 08:12:38.147000+02:00,474.57,497.85999999999996,0.8297,0.8704000000000001,2,1,2021-10-11 15:05:55.392000+02:00,False,1,79.81200000000001,42.804,industrial area,40.225383,1.287872,industrial area
8,957164.0,957.164,182564.259,50.712294166666666,2021-10-11 15:05:55.392000+02:00,-61.13,382.0075,-0.1069,0.66785,8,1,2021-10-13 17:48:39.651000+02:00,True,1,99.86399999999999,81.396,service area fuel,345.172748,1.259178,service area fuel
10,1175349.0,1175.349,403251.163,112.01421194444444,2021-10-13 17:48:39.651000+02:00,-121.4,128.0115,-0.2122,0.22379500000000002,10,1,2021-10-18 09:49:30.814000+02:00,True,1,100.83600000000001,79.416,service area fuel,394.097078,1.2625,service area fuel
12,820250.0,820.25,184427.265,51.229795833333334,2021-10-18 09:49:30.814000+02:00,-14.19,335.93454545454546,-0.0248,0.5872772727272727,11,1,2021-10-20 13:03:18.079000+02:00,True,1,98.172,80.064,service area fuel,283.142051,4.765788,service area fuel
14,728884.0,728.884,399987.08,111.10752222222223,2021-10-20 13:03:18.079000+02:00,-133.1,327.04791666666665,-0.2327,0.5717416666666667,12,1,2021-10-25 04:09:45.159000+02:00,True,1,96.552,70.92,service area fuel,253.562563,1.301932,service area fuel
16,760768.0,760.768,129138.078,35.87168833333333,2021-10-25 04:09:45.159000+02:00,96.67,296.571,0.169,0.51848,10,1,2021-10-26 16:02:03.237000+02:00,True,1,99.972,71.244,service area fuel,316.554594,1.687282,service area fuel
18,1538067.0,1538.067,587906.433,163.3073425,2021-10-26 16:02:03.237000+02:00,-385.37,42.30409090909091,-0.6737,0.07395454545454547,11,1,2021-11-02 10:20:29.670000+01:00,True,1,146.232,73.8,service area fuel,364.47192,1.326605,service area fuel
20,922090.0,922.09,178958.631,49.71073083333333,2021-11-02 10:20:29.670000+01:00,-28.9,247.09666666666666,-0.0505,0.4319888888888889,9,1,2021-11-04 12:03:08.301000+01:00,True,1,119.66400000000002,74.088,service area fuel,316.377299,1.256099,service area fuel
22,682690.0,682.69,338987.907,94.1633075,2021-11-04 12:03:08.301000+01:00,-211.13,281.785,-0.3691,0.49262500000000004,6,1,2021-11-08 10:12:56.208000+01:00,True,1,139.284,75.564,service area fuel,387.793747,1.151752,service area fuel
24,272995.0,272.995,182254.828,50.62634111111111,2021-11-08 10:12:56.208000+01:00,259.35,453.6383333333333,0.4534,0.79305,9,1,2021-11-10 12:50:31.036000+01:00,True,1,95.94,83.34,service area fuel,213.334404,1.247515,service area fuel
26,115808.0,115.80799999999999,294975.416,81.93761555555555,2021-11-10 12:50:31.036000+01:00,381.42,422.328,0.6668,0.73834,5,1,2021-11-13 22:46:46.452000+01:00,True,1,112.824,74.412,other area,101.441709,1.151752,other area
28,547717.0,547.717,237314.669,65.92074138888889,2021-11-13 22:46:46.452000+01:00,302.54,444.90500000000003,0.5289,0.77782,10,1,2021-11-16 16:42:01.121000+01:00,True,1,113.328,63.828,service area fuel,206.552379,1.359628,service area fuel
30,519906.0,519.9060000000001,158806.13300000003,44.112814722222225,2021-11-16 16:42:01.121000+01:00,8.47,299.4535714285715,0.0148,0.5235285714285715,7,1,2021-11-18 12:48:47.254000+01:00,True,1,100.368,67.86000000000001,other area,340.613378,1.564664,other area
32,22041.0,22.041,79687.983,22.135550833333333,2021-11-18 12:48:47.254000+01:00,501.37,508.3375,0.8765,0.8887,2,1,2021-11-19 10:56:55.237000+01:00,False,1,94.104,43.272,industrial area,13.42675,1.192747,industrial area
34,101768.0,101.768,236407.606,65.66877944444445,2021-11-19 10:56:55.237000+01:00,469.67,497.18833333333333,0.8211,0.8692166666666666,3,1,2021-11-22 04:37:02.843000+01:00,False,1,88.632,40.968,industrial area,45.131552,1.277073,industrial area
36,949504.0,949.5039999999999,119827.845,33.2855125,2021-11-22 04:37:02.843000+01:00,-70.85,259.4725,-0.1239,0.45363333333333333,6,1,2021-11-23 13:54:10.688000+01:00,True,1,99.61200000000001,71.712,service area fuel,388.357526,1.239235,service area fuel
38,1585714.0,1585.714,516733.064,143.53696222222223,2021-11-23 13:54:10.688000+01:00,-92.63,220.09785714285712,-0.1619,0.38479285714285716,14,1,2021-11-29 13:26:23.752000+01:00,True,1,99.9,79.344,service area fuel,432.084309,1.57567,service area fuel
39,12382.0,12.382,1286906.872,357.47413111111115,2021-11-29 13:26:23.752000+01:00,513.08,514.0649999999999,0.897,0.8987250000000001,6,1,2021-12-14 10:54:50.624000+01:00,False,1,24.48,3.06,home base,1.71611,1.151752,home base
40,89870.0,89.87,30967.078,8.60196611111111,2021-12-14 10:54:50.624000+01:00,477.79,499.41166666666663,0.8353,0.8731,3,1,2021-12-14 19:30:57.702000+01:00,False,1,80.38799999999999,38.412,industrial area,37.012486,1.153684,industrial area
42,877101.0,877.101,669167.826,185.87995166666664,2021-12-14 19:30:57.702000+01:00,20.77,359.45285714285717,0.0363,0.6284142857142857,7,1,2021-12-22 13:23:45.528000+01:00,True,1,100.368,76.32,service area fuel,309.055373,1.263569,service area fuel
43,15820.0,15.82,1107192.093,307.55335916666667,2021-12-22 13:23:45.528000+01:00,496.58,505.68999999999994,0.8681,0.88405,1,1,2022-01-04 08:56:57.621000+01:00,False,1,73.944,4.5360000000000005,home base,18.220717,1.151752,home base
44,792289.0,792.289,259602.343,72.11176194444445,2022-01-04 08:56:57.621000+01:00,-94.81,356.285625,-0.1658,0.622875,8,1,2022-01-07 09:03:39.964000+01:00,True,1,107.676,81.396,service area fuel,280.670445,1.241584,service area fuel
46,100319.0,100.319,242160.48599999998,67.26680166666667,2022-01-07 09:03:39.964000+01:00,464.71,495.54333333333335,0.8124,0.8663333333333334,3,1,2022-01-10 04:19:40.450000+01:00,False,1,89.784,44.568000000000005,industrial area,50.09315,1.151752,industrial area
48,633280.0,633.28,123382.05599999998,34.27279333333333,2022-01-10 04:19:40.450000+01:00,36.86,276.898,0.0644,0.48408999999999996,5,1,2022-01-11 14:36:02.506000+01:00,True,1,100.98,71.928,other area,372.670091,1.282192,other area
50,719835.0,719.835,156451.919,43.45886638888889,2022-01-11 14:36:02.506000+01:00,90.02,334.97499999999997,0.1574,0.585625,6,1,2022-01-13 10:03:34.425000+01:00,True,1,93.924,67.968,service area fuel,318.885875,1.170258,service area fuel
52,71909.0,71.90899999999999,341771.873,94.93663138888888,2022-01-13 10:03:34.425000+01:00,212.08,458.645,0.3708,0.8018375,4,1,2022-01-17 08:59:46.298000+01:00,False,1,80.53200000000001,45.288000000000004,other area,35.750174,1.151752,other area
54,1465468.0,1465.468,1208255.038,335.6263994444445,2022-01-17 08:59:46.298000+01:00,-312.22,258.95029411764705,-0.5458,0.4527,17,1,2022-01-31 08:37:21.336000+01:00,True,1,160.128,78.192,service area fuel,355.169925,1.248503,service area fuel
55,2207.0,2.207,8891.04,2.469733333333333,2022-01-31 08:37:21.336000+01:00,512.26,513.53,0.8956,0.8977999999999999,1,1,2022-01-31 11:05:32.376000+01:00,False,1,46.296,2.952,home base,2.541917,1.151752,home base
56,580769.0,580.769,177339.87999999998,49.26107777777777,2022-01-31 11:05:32.376000+01:00,102.69,426.02272727272725,0.1795,0.7447954545454546,11,1,2022-02-02 12:21:12.256000+01:00,True,1,101.34,79.92,service area fuel,220.058344,1.151752,service area fuel
58,534458.0,534.4580000000001,167037.161,46.39921138888889,2022-02-02 12:21:12.256000+01:00,-100.76,232.406,-0.1762,0.40630000000000005,5,1,2022-02-04 10:45:09.417000+01:00,True,1,106.81200000000001,78.192,service area fuel,280.29267,1.151752,service area fuel
60,59720.0,59.72,259573.268,72.10368555555556,2022-02-04 10:45:09.417000+01:00,480.16,497.605,0.8394,0.8699250000000001,2,1,2022-02-07 10:51:22.685000+01:00,False,1,78.3,36.72,industrial area,34.643548,1.151752,industrial area
62,230906.0,230.906,89744.464,24.929017777777776,2022-02-07 10:51:22.685000+01:00,370.0,427.28285714285715,0.6469,0.7469857142857144,4,1,2022-02-08 11:47:07.149000+01:00,True,1,96.084,54.18000000000001,rest area,121.144731,1.151752,rest area
